type,description
"Flammable liquids, n.o.s.",loren ipsum
"Environmentally hazardous substances, solid, n.o.s.",loren ipsum ch
MERUCRY,loren ipsum hg
PAINT,loren ipsum paint
TOLUENE,loren ipsum
LEAD,pb
Other recovery,other
Neutralization only,neutral
Recovery_Fuel_Blending,Recovery_Fuel_Blending xxx
Destruction_Stabalization,Destruction_Stabalization xx
Disposal_Land_Treatment,Disposal_Land_Treatmentxxxx
Disposal_Landfill,Disposal_Landfillxxx
Recovery_Energy,Recovery_Energyxxx
Recovery_Fuel_Blending,Recovery_Fuel_Blendingxxx
Recovery_Metals,Recovery_Metalsxxx
Recovery_Other,Recovery_Otherxxx
Recovery_Solvents,Recovery_Solventsxxx
