Year,exporter_key,exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc2,un,totalQuantityinShipment,units_final,phase,ExpectedManagementMethod,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,receivingfacilityzipcode,latitude,longitude
2010,E3A98678,DANA CANADA CORP,205 INDUSTRIAL DRIVE,MT. FOREST,ONTARIO,CANADA,43.98678,-80.74708,"Environmentally hazardous substances, liquid, n.o.s.",UN3082,11364,liters,liquid,Other recovery,OHD986976348,AGMET METALS INC,7800 MEDUSA ST.,OAKWOOD VILLAGE,OH,44139,41.356172,-81.517187
2010,E3A44884,DANA CANADA CORP,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488399,-79.69154,"Environmentally hazardous substances, liquid, n.o.s.",UN3082,15876,liters,liquid,Other recovery,OHD986976348,AGMET METALS INC,7800 MEDUSA ST.,OAKWOOD VILLAGE,OH,44139,41.356172,-81.517187
2010,E3A98678,DANA CANADA CORP,205 INDUSTRIAL DRIVE,MT. FOREST,ONTARIO,CANADA,43.98678,-80.74708,"Environmentally hazardous substances, liquid, n.o.s.",UN3082,12287,liters,liquid,Other recovery,OHD986976348,AGMET METALS INC,7800 MEDUSA ST.,OAKWOOD VILLAGE,OH,44139,41.356172,-81.517187
2010,E3A44884,DANA CANADA CORP,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488399,-79.69154,"Environmentally hazardous substances, liquid, n.o.s.",UN3082,16629,liters,liquid,Other recovery,OHD986976348,AGMET METALS INC,7800 MEDUSA ST.,OAKWOOD VILLAGE,OH,44139,41.356172,-81.517187
2010,E3A44884,DANA CANADA CORP,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488399,-79.69154,"Environmentally hazardous substances, liquid, n.o.s.",UN3082,21175,liters,liquid,Other recovery,OHD986976348,AGMET METALS INC,7800 MEDUSA ST.,OAKWOOD VILLAGE,OH,44139,41.356172,-81.517187
2010,E3A44884,DANA CANADA CORP,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488399,-79.69154,"Environmentally hazardous substances, liquid, n.o.s.",UN3082,17939,liters,liquid,Other recovery,OHD986976348,AGMET METALS INC,7800 MEDUSA ST.,OAKWOOD VILLAGE,OH,44139,41.356172,-81.517187
2010,E3A98678,DANA CANADA CORP,205 INDUSTRIAL DRIVE,MOUNT FORGET,ONTARIO,CANADA,43.98678,-80.74708,"Environmentally hazardous substances, liquid, n.o.s.",UN3082,15005,liters,liquid,Other recovery,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,44139,41.356172,-81.517187
2010,E9A13781,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,CANADA,49.137814,-123.007124,"Flammable liquids, n.o.s.",UN1993,9464,liters,liquid,Incineration,NED981723513,CLEAN HARBORS INC,2247 SOUTH HIGHWAY 71,KIMBALL,NE,69145,41.224802,-103.662217
2010,E9A13781,CLEAN HARBORS INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,CANADA,49.137814,-123.007124,"Flammable liquids, n.o.s.",UN1993,9464,liters,liquid,Incineration,NED981723513,CLEAN HARBORS INC,2247 SOUTH HIGHWAY 71,KIMBALL,NE,69145,41.224802,-103.662217
2010,E3A26118,ARCELORMITTEL,690 STRATHEARNE AVE,N HAMILTON,ONTARIO,CANADA,43.26118,-79.78887,"Corrosive liquid, acidic, inorganic, n.o.s.",UN3264,25003,liters,liquid,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST.,DETROIT,MI,48211,42.392868,-83.0325241
