Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Country of Export,exporterLAT,exporterLONG,hazWasteDesc,Number of Containers,totalQuantityinShipment,Units for Quantity in Shipment,Applicable RCRA Hazardous Waste Code(s),Expected Management Method Code,Receiving Facility EPA ID Number,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,receivingFacilityState,receivingStateCode,Receiving Facility Zip Code,receiving facility lat,receiving facility long
2010,002828818 FLE,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,L4Y4C2,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,41100,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
2010,002828819 FLE,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,L4Y4C2,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,40580,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
2010,002828820 FLE,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,L4Y4C2,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,24080,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
2010,002828821 FLE,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,L4Y4C2,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,42340,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
2010,002828822 FLE,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,L4Y4C2,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,42040,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
2010,002828823 FLE,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,L4Y4C2,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,39120,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
2010,002828824 FLE,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,L4Y4C2,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,39440,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
2010,002828825 FLE,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,L4Y4C2,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,40840,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
2010,002828826 FLE,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,L4Y4C2,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,43280,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
2010,001362665 FLE,XSTRATA CANADA CORPORATION - BRUNSWICK SMELTER,692 MAIN STREET,BELLEDUNE,NEW BRUNSWICK,E8G2M1,CANADA,,,"HAZARDOUS WASTE SOLID, NOS (LEAD)",1,42688,P,D008,H039,ALD981475304,KW PLASTICS,NO 1 SANDERS RD,TROY,AL,1,36079,,
