exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,totalQuantityinShipment,units,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,WASTE HYDRAZINE AQUEOUS SOLUTION WITH NOT MORE THAN ? PERCENT HYDRAZINE BY MASS),7?5,K,H040,71730,ARD068748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
ARCELORMITTAL,690 STRATHEARNE AVE,N HAMILTON,ONTARIO,CANADA,43.260643,-79.7906036,"WASTE CORROSIVE LIQUID, ACIDIC, INORGANIC, NOS (HYDROCHLORIC PICKLE LIQUOR)",6605 (APPROX),G,H077,48211,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,42.392868,-83.032524
HOTZ ENVIRONMENTAL SERVICES INC.,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,"CONTAINS PAINT, SOLVENT",6562 EST,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
ARCELORMITTAL,690 STRATHEARNE AVE,N HAMILTON,ONTARIO,CANADA,43.260643,-79.7906036,"WASTE CORROSIVE LIQUID, ACIDIC, INORGANIC, NOS (HYDROCHLORIC PICKLE LIQUOR)",6019 (APPROX),G,H077,48211,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,42.392868,-83.032524
HOTZ ENVIRONMENTAL SERVICES INC.,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,"CONTAINS PAINT, SOLVENT",5744 EST,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,"WASTE FLAMMABLE LIQUID, TOXIC, NOS (CONTAINS PAINT, SOLVENT)",5744 EST,G,H061,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,"WASTE FLAMMABLE LIQUID, TOXIC, NOS (CONTAINS PAINT, SOLVENT)",5510 EST,G,H061,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,"WASTE FLAMMABLE LIQUID, TOXIC, NOS (CONTAINS PAINT, SOLVENT)",5510 EST,G,H061,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,"WASTE FLAMMABLE LIQUID, TOXIC, NOS (CONTAINS PAINT, SOLVENT)",5510 EST,G,H061,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
HOTZ ENVIRONMENTAL SERVICES INC,239 LOTTRIDGE ST,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,"WASTE FLAMMABLE LIQUID, TOXIC, NOS (CONTAINS PAINT, SOLVENT)",5389 EST,G,H061,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
