exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,totalQuantityinShipment,units_final,phase,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
HOTZ ENVIRONMENTAL SERVICES INC.,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,PAINT,21743,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,21175,Liters,liquid,Recovery_Other,44139,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,23886,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,TOLUENE,100,Liters,liquid,Destruction_Incineration,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,TOLUENE,400,Liters,liquid,Destruction_Incineration,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,TOLUENE,22599,Liters,liquid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,22000,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19180,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,20318,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19865,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19647,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19971,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19748,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,20401,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19544,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,20434,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,18360,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19440,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19100,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19100,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,19130,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,20197,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,20000,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,20152,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
NEWALTA CORPORATION,1131 SNOW VALLEY ROAD,BARRIE,ONTARIO,CANADA,44.4343491,-79.7377625,TOLUENE,18500,Liters,liquid,Destruction_Incineration,43920,OHD980613541,HERITAGE WTI,1250 ST GEORGE ST,EAST LIVERPOOL,OH,40.6315774,-80.5479363
CLEAN HARBORS CANADA INC,7842 PROGRESS WAY,DELTA,BRITISH COLUMBIA,CANADA,49.138237,-123.0064087,TOLUENE,9464,Liters,liquid,Destruction_Incineration,69145,NED981723513,CLEAN HARBORS ENV SERVICES INC,2247 SOUTH HIGHWAY 71,KIMBELL,NE,41.2633018,-103.6393585
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,LEAD,15142,Liters,liquid,Recovery_Metals,44146,OHD986976348,AGMET METALS INC,9800 MEDUSA ST,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
