exporter_name,exporter_key,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,totalQuantityinShipment,units_final,phase,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
 BENDIX CVS DE MEXICO SA DE CV,E9A5242214,CARRETERA PRESA LA AMISTAD KM 65 PARQUE IND AM,MEXICO,MEXICO,MEXICO,19.5242214,-99.1222305,MERCURY,174,Kilograms,solid,Destruction_Incineration,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
 BENDIX CVS DE MEXICO SA DE CV,E9A5242214,CARRETERA PRESA LA AMISTAD KM 65 PARQUE IND AM,MEXICO,MEXICO,MEXICO,19.5242214,-99.1222305,MERCURY,204,Kilograms,solid,Transfer_Stored_Bulk,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
 BENDIX CVS DE MEXICO SA DE CV,E9A5242214,CARRETERA PRESA LA AMISTAD KM 65 PARQUE IND AM,MEXICO,MEXICO,MEXICO,19.5242214,-99.1222305,PAINT,272,Kilograms,solid,Destruction_Incineration,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
 BENDIX CVS DE MEXICO SA DE CV,E9A5242214,CARRETERA PRESA LA AMISTAD KM 65 PARQUE IND AM,MEXICO,MEXICO,MEXICO,19.5242214,-99.1222305,PAINT,395,Kilograms,solid,Destruction_Incineration,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
 BENDIX CVS DE MEXICO SA DE CV,E9A5242214,CARRETERA PRESA LA AMISTAD KM 65 PARQUE IND AM,MEXICO,MEXICO,MEXICO,19.5242214,-99.1222305,PAINT,311,Kilograms,solid,Destruction_Incineration,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
 BENDIX CVS DE MEXICO SA DE CV,E9A5242214,CARRETERA PRESA LA AMISTAD KM 65 PARQUE IND AM,MEXICO,MEXICO,MEXICO,19.5242214,-99.1222305,PAINT,196,Kilograms,solid,Destruction_Incineration,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
ANACHEM LTD,E5A4490814,135 RICHER ST.,LACHINE,QUEBEC,CANADA,45.4490814,-73.6633987,TOLUENE,78540,Kilograms,solid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
ANACHEM LTD,E5A4490814,135 RICHER ST.,LACHINE,QUEBEC,CANADA,45.4490814,-73.6633987,TOLUENE,88049,Kilograms,solid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
ANACHEM LTD,E5A4490814,135 RICHER ST.,LACHINE,QUEBEC,CANADA,45.4490814,-73.6633987,TOLUENE,77659,Kilograms,solid,Recovery_Fuel_Blending,66736,KSD980633259,SYSTECH ENVIRONMENTAL CORP,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
ANACHEM LTD,E5A4490814,135 RICHER ST.,LACHINE,QUEBEC,CANADA,45.4490814,-73.6633987,TOLUENE,85109,Kilograms,solid,Recovery_Fuel_Blending,66736,KSD980633259,SYSTECH ENVIRONMENTAL CORP,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
ANACHEM LTD,E5A4490814,135 RICHER ST.,LACHINE,QUEBEC,CANADA,45.4490814,-73.6633987,TOLUENE,72879,Kilograms,solid,Recovery_Fuel_Blending,45879,OHD005048947,SYSTECH CORP,RR#2 11397 COUNTY RD 176,PAULDING,OH,41.1794467,-84.6049518
APARATOS ELECTRICOS DE ACUNA,E9A31917,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,19.31917,-99.2401199,LEAD,98,Kilograms,solid,Transfer_Stored_Bulk,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
APARATOS ELECTRICOS DE ACUNA,E9A31917,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,19.31917,-99.2401199,LEAD,4053,Kilograms,solid,Transfer_Stored_Bulk,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
APARATOS ELECTRICOS DE ACUNA,E9A31917,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,19.31917,-99.2401199,LEAD,26,Kilograms,solid,Transfer_Stored_Bulk,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
APARATOS ELECTRICOS DE ACUNA,E9A31917,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,19.31917,-99.2401199,LEAD,812,Kilograms,solid,Destruction_Incineration,77571,TXR055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
APARATOS ELECTRICOS DE ACUNA,E9A31917,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,19.31917,-99.2401199,LEAD,154,Kilograms,solid,Transfer_Stored_Bulk,77571,TXR055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
APARATOS ELECTRICOS DE ACUNA,E9A31917,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,19.31917,-99.2401199,MERCURY,4,Kilograms,solid,Transfer_Stored_Bulk,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
APARATOS ELECTRICOS DE ACUNA,E9A31917,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,19.31917,-99.2401199,MERCURY,295,Kilograms,solid,Transfer_Stored_Bulk,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
APARATOS ELECTRICOS DE ACUNA,E9A31917,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,19.31917,-99.2401199,MERCURY,18,Kilograms,solid,Transfer_Stored_Bulk,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
APARATOS ELECTRICOS DE ACUNA,E9A31917,CARRETERA PRESA LA AMISTAD KM7,CIUDAD ACUNA,MEXICO,MEXICO,19.31917,-99.2401199,MERCURY,100,Kilograms,solid,Transfer_Stored_Bulk,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
