exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,totalQuantityinShipment,,units,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5550,5550,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5680,5680,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5420,5420,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5550,5550,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5550,5550,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5680,5680,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5420,5420,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5550,5550,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5550,5550,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5471,5471,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"TOLUENE, XYLENE",5550,5550,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"WASTE FLAMMABLE LIQUID, NOS (CONTAINS TOLUENE, XYLENE)",5550,5550,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,"WASTE FLAMMABLE LIQUID, NOS (CONTAINS TOLUENE, XYLENE)",5460,5460,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
